,Player,Team_x,ShootsCatches_x,DOB,BirthCity,StateProvince,Country,Nationality,HeightInches,WeightPounds,DraftYear,DraftRound,DraftPickNumber,FirstSeason,HOF,GamesPlayed_x,Wins_x,Losses_x,Ties_x,OvertimeLosses_x,Shutouts_x,Season,Team_y,ShootsCatches_y,GamesPlayed_y,GamesStarted,Wins_y,Losses_y,Ties_y,OvertimeLosses_y,ShotsAgainst,Saves,GoalsAgainst,SavePct,GoalsAgainstAvg,TimeOnIce,Shutouts_y,GoalsScored,Assists,Points,PenaltyMinutes
0,David Aebischer,,L,1978-02-07,Fribourg,,CHE,CHE,73,187,1997,6,161,2000-01,N,214,106,74,12,5,13,2001-02,COL,L,21,19,13,6,0,,538,501,37,0.931,1.88,1183:30,2,0,0,0,4
1,David Aebischer,,L,1978-02-07,Fribourg,,CHE,CHE,73,187,1997,6,161,2000-01,N,214,106,74,12,5,13,2003-04,COL,L,62,61,32,19,9,,1703,1574,129,0.924,2.09,3702:49,4,0,1,1,4
2,David Aebischer,,L,1978-02-07,Fribourg,,CHE,CHE,73,187,1997,6,161,2000-01,N,214,106,74,12,5,13,2006-07,MTL,L,32,27,13,12,,3,929,836,93,0.9,3.17,1760:29,0,0,0,0,2
3,David Aebischer,,L,1978-02-07,Fribourg,,CHE,CHE,73,187,1997,6,161,2000-01,N,214,106,74,12,5,13,2007-08,PHX,L,1,1,0,1,,0,33,30,3,0.909,3,59:55,0,0,0,0,0
4,David Aebischer,,L,1978-02-07,Fribourg,,CHE,CHE,73,187,1997,6,161,2000-01,N,214,106,74,12,5,13,2000-01,COL,L,26,22,12,7,3,,538,486,52,0.903,2.24,1392:35,3,0,1,1,0
5,David Aebischer,,L,1978-02-07,Fribourg,,CHE,CHE,73,187,1997,6,161,2000-01,N,214,106,74,12,5,13,2005-06,"MTL,COL",L,50,49,29,17,,2,1473,1324,149,0.899,3.09,2895:05,3,0,3,3,16
6,David Aebischer,,L,1978-02-07,Fribourg,,CHE,CHE,73,187,1997,6,161,2000-01,N,214,106,74,12,5,13,2002-03,COL,L,22,19,7,12,0,,593,543,50,0.916,2.43,1235:07,1,0,0,0,4
7,Sami Aittokallio,,L,1992-08-06,Tampere,,FIN,FIN,73,185,2010,4,107,2012-13,N,2,0,1,,0,0,2012-13,COL,L,1,1,0,0,,0,25,23,2,0.92,2.43,49:20,0,0,0,0,0
8,Sami Aittokallio,,L,1992-08-06,Tampere,,FIN,FIN,73,185,2010,4,107,2012-13,N,2,0,1,,0,0,2013-14,COL,L,1,1,0,1,,0,18,15,3,0.833,4.5,40:00,0,0,0,0,0
9,Jake Allen,MTL,L,1990-08-07,Fredericton,NB,CAN,CAN,74,195,2008,2,34,2012-13,N,368,175,134,,35,23,2021-22,MTL,L,35,35,9,20,,4,1123,1016,107,0.905,3.3,1947:40,2,0,0,0,2
10,Jake Allen,MTL,L,1990-08-07,Fredericton,NB,CAN,CAN,74,195,2008,2,34,2012-13,N,368,175,134,,35,23,2022-23,MTL,L,15,15,7,8,,0,500,449,51,0.898,3.4,900:01,0,0,1,1,0
11,Jake Allen,MTL,L,1990-08-07,Fredericton,NB,CAN,CAN,74,195,2008,2,34,2012-13,N,368,175,134,,35,23,2019-20,STL,L,24,21,12,6,,3,655,607,48,0.927,2.15,1339:04,2,0,0,0,0
12,Jake Allen,MTL,L,1990-08-07,Fredericton,NB,CAN,CAN,74,195,2008,2,34,2012-13,N,368,175,134,,35,23,2014-15,STL,L,37,32,22,7,,4,909,830,79,0.913,2.28,2077:02,4,0,2,2,2
13,Jake Allen,MTL,L,1990-08-07,Fredericton,NB,CAN,CAN,74,195,2008,2,34,2012-13,N,368,175,134,,35,23,2017-18,STL,L,59,56,27,25,,3,1614,1462,152,0.906,2.75,3316:58,1,0,1,1,0
14,Jake Allen,MTL,L,1990-08-07,Fredericton,NB,CAN,CAN,74,195,2008,2,34,2012-13,N,368,175,134,,35,23,2012-13,STL,L,15,13,9,4,,0,346,313,33,0.905,2.46,803:53,1,0,0,0,0
15,Jake Allen,MTL,L,1990-08-07,Fredericton,NB,CAN,CAN,74,195,2008,2,34,2012-13,N,368,175,134,,35,23,2020-21,MTL,L,29,27,11,12,,5,817,741,76,0.907,2.68,1702:36,0,0,0,0,2
16,Jake Allen,MTL,L,1990-08-07,Fredericton,NB,CAN,CAN,74,195,2008,2,34,2012-13,N,368,175,134,,35,23,2015-16,STL,L,47,44,26,15,,3,1260,1159,101,0.92,2.35,2583:22,6,0,0,0,0
17,Jake Allen,MTL,L,1990-08-07,Fredericton,NB,CAN,CAN,74,195,2008,2,34,2012-13,N,368,175,134,,35,23,2016-17,STL,L,61,60,33,20,,5,1620,1482,138,0.915,2.42,3418:19,4,0,1,1,4
18,Jake Allen,MTL,L,1990-08-07,Fredericton,NB,CAN,CAN,74,195,2008,2,34,2012-13,N,368,175,134,,35,23,2018-19,STL,L,46,45,19,17,,8,1277,1156,121,0.905,2.83,2567:57,3,0,0,0,0
19,Hugo Alnefelt,TBL,L,2001-06-04,Danderyd,,SWE,SWE,74,177,2019,3,71,2021-22,N,1,0,0,,0,0,2021-22,TBL,L,1,0,0,0,,0,10,7,3,0.7,9,20:00,0,0,0,0,0
20,Jorge Alves,,L,1979-01-30,Boston,MA,USA,USA,69,185,,,,2016-17,N,1,0,0,,0,0,2016-17,CAR,L,1,0,0,0,,0,0,0,0,,0,0:08,0,0,0,0,0
21,Frederik Andersen,CAR,L,1989-10-02,Herning,,DNK,DNK,76,238,2012,3,87,2013-14,N,453,266,117,,51,23,2017-18,TOR,L,66,66,38,21,,5,2211,2029,182,0.918,2.81,3888:31,5,0,1,1,2
22,Frederik Andersen,CAR,L,1989-10-02,Herning,,DNK,DNK,76,238,2012,3,87,2013-14,N,453,266,117,,51,23,2021-22,CAR,L,52,51,35,14,,3,1431,1320,111,0.922,2.17,3070:53,4,0,4,4,0
23,Frederik Andersen,CAR,L,1989-10-02,Herning,,DNK,DNK,76,238,2012,3,87,2013-14,N,453,266,117,,51,23,2020-21,TOR,L,24,23,13,8,,3,668,598,70,0.895,2.96,1420:07,0,0,1,1,0
24,Frederik Andersen,CAR,L,1989-10-02,Herning,,DNK,DNK,76,238,2012,3,87,2013-14,N,453,266,117,,51,23,2015-16,ANA,L,43,37,22,9,,7,1086,998,88,0.919,2.3,2297:56,3,0,1,1,2
25,Frederik Andersen,CAR,L,1989-10-02,Herning,,DNK,DNK,76,238,2012,3,87,2013-14,N,453,266,117,,51,23,2014-15,ANA,L,54,53,35,12,,5,1436,1313,123,0.914,2.38,3105:43,3,0,3,3,4
26,Frederik Andersen,CAR,L,1989-10-02,Herning,,DNK,DNK,76,238,2012,3,87,2013-14,N,453,266,117,,51,23,2016-17,TOR,L,66,66,33,16,,14,2052,1883,169,0.918,2.67,3799:20,4,0,1,1,16
27,Frederik Andersen,CAR,L,1989-10-02,Herning,,DNK,DNK,76,238,2012,3,87,2013-14,N,453,266,117,,51,23,2018-19,TOR,L,60,60,36,16,,7,1958,1796,162,0.917,2.77,3510:15,1,0,1,1,2
28,Frederik Andersen,CAR,L,1989-10-02,Herning,,DNK,DNK,76,238,2012,3,87,2013-14,N,453,266,117,,51,23,2013-14,ANA,L,28,24,20,5,,0,783,723,60,0.923,2.29,1569:26,0,0,1,1,0
29,Frederik Andersen,CAR,L,1989-10-02,Herning,,DNK,DNK,76,238,2012,3,87,2013-14,N,453,266,117,,51,23,2019-20,TOR,L,52,52,29,13,,7,1577,1434,143,0.909,2.85,3006:40,3,0,0,0,0
